feature1,age,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,target
0.0019632670000000003,42,0,0.079940785,1350,7,0,0,0,0,0
0.004538287,86,0,3.0, ,2,0,0,0, ,0
0.023044317,61,0,0.41991601700000003,5000,18,0,2,0,1,0
0.12124203300000001,48,0,0.526589364,2500,12,0,1,0,1,0
0.9999998999999999,49,3,0.256566684,5900,3,3,1,1,2,1
0.11378862099999999,68,1,0.005097373,7650,2,0,0,0,1,0
0.25476362399999997,39,0,0.360161138,11666,7,0,1,0,1,0
0.8725149659999999,47,0,2817.0, ,8,0,1,0,2,0
0.33855517,71,0,0.39728506799999996,14364,12,0,2,0,0,0
0.9999998999999999,64,0,511.0, ,4,0,1,0,0,0
0.429628236,50,0,10.036135871,4150,9,0,3,0,0,1
0.6931792929999999,29,0,0.345685032,2050,7,0,0,0,0,0
0.572363422,40,1,10.202771017,5340,8,1,4,0,1,0
0.028362777000000002,62,0,50.0, ,5,0,0,0,0,0
0.061552036,30,0,966.0, ,9,0,1,0,3,0
0.286265858,46,0,0.04173913,6324,5,0,0,1,2,0
0.15927579999999997,63,0,704.0, ,10,0,0,0,0,0
0.0,38,0,0.417170496,2480,4,0,1,0,1,0
0.279860757,68,0,0.384003033,2637,6,0,1,0,0,0
0.311180489,56,0,0.134459576,5800,9,0,0,0,0,0
0.073415187,74,0,1269.0, ,16,0,1,0,0,0
0.7711475059999999,59,3,0.39661746,10228,11,3,1,0,0,1
0.436067266,40,0,0.514075243,3800,4,0,1,0,2,0
0.023899602000000002,64,0,0.321085888,4272,10,0,1,0,0,0
0.193295642,51,0,10.028807758,3505,14,0,1,0,1,0
0.48030360200000005,51,0,10.243752403,2600,14,0,1,0,1,0
0.001197392,72,0,3830.0, ,9,0,3,0,0,0
0.054473596,47,0,0.00815739,4167,7,0,0,0,0,0
0.9999998999999999,41,0,0.03511236,4983,2,1,0,0,1,0
0.482769855,48,0,2596.0, ,8,0,1,0,4,0
0.431177706,65,0,0.304904717,3200,3,0,0,0,0,0
0.33465611300000003,70,0,0.565862406,12267,21,0,4,0,1,0
0.00568073,87,0,0.004329004,3200,8,0,0,0,0,0
0.070178687,29,0,0.179606798,3000,4,0,0,0,0,0
0.024567919,29,0,0.5790327820000001,3080,8,0,2,0,1,0
0.020935278999999998,71,0,0.104548789,2725,4,0,1,0,1,0
0.9999998999999999,39,0,0.8776284040000001,2900,14,0,4,2,1,0
0.01053703,64,0,0.08652972199999999,5500,6,0,0,0,1,0
0.348070295,34,1,0.476508121,3447,5,0,1,0,3,0
0.24345709100000001,34,0,0.329945009,6000,3,0,1,0,0,0
0.03519912,74,0,0.011730205,3750,10,0,0,0,0,0
0.067138657,65,0,0.068842199,11184,6,0,0,0,1,0
0.650291424,65,3,0.249011858,3288,9,0,0,0,0,0
0.319969871,34,2,10.353671148,2900,13,1,1,0,0,1
0.344936623,43,1,0.341842136,8500,11,0,1,0,4,0
0.0,45,0,0.24415117,5000,5,0,1,0,0,0
0.140549612,30,0,1116.0, ,7,0,1,0,0,0
0.9388061190000001,29,0,0.678425726,4166,6,0,1,0,0,0
0.357085076,61,0,0.28344707199999997,6300,11,0,1,2,1,0
0.03159684,61,0,0.7324225259999999,3000,4,0,1,0,0,0
0.030152848,52,0,0.370662631,9250,8,0,2,0,1,0
0.328657732,29,0,0.181722505,5700,4,0,0,0,0,0
0.030991118999999998,61,0,0.22505995199999998,8339,14,0,1,0,1,0
0.01289871,47,0,0.5998400429999999,3750,7,0,1,0,4,0
0.129846999,47,0,10.216629852,6337,11,0,3,0,0,0
0.23898228100000002,29,0,0.007774898000000001,2700,2,0,0,0,0,0
0.42894948299999996,60,0,0.454181833,25000,9,0,2,0,0,0
0.501748811,65,0,0.253030395,16416,24,0,0,0,0,0
0.032309934,29,0,0.157480315,1650,7,0,0,0,0,0
0.11045178,63,0,0.311815713,11416,20,0,1,1,1,0
0.119583556,40,0,0.08314952099999999,25000,12,0,4,0,1,0
0.085201007,65,0,0.356352665,2982,11,0,2,0,0,0
0.9069504190000001,48,2,0.308111793,4400,7,0,0,0,0,0
0.874829027,46,0,2521.0, ,6,1,1,0,1,0
0.058011735,38,0,0.008396641,2500,5,0,0,0,0,0
0.601914012,56,0,0.05291601,4440,2,1,0,1,2,1
0.362454585,47,0,0.135716071,4000,11,0,0,0,2,0
0.064426044,70,0,0.522309711,8000,15,0,2,0,0,0
0.081035407,30,0,0.398228824,7000,9,0,2,0,0,0
0.021787413,79,0,10.051252847,1300,13,0,1,0,0,0
0.9999998999999999,61,0,0.004329004,6892,2,0,0,0,0,0
1.0,50,0,10.069332473,3100,8,0,2,0,0,0
1.0,45,3,0.51545585,7666,9,0,0,0,1,0
0.803196803,45,0,0.36483858399999997,2570,4,0,0,0,0,0
0.023665245,81,0,0.061041806,10500,15,0,1,0,0,0
0.9999998999999999,35,0,0.083631409,5870,5,0,0,0,2,0
0.214043664,76,0,1576.0, ,3,0,2,0,0,0
0.080458568,37,0,0.237813516,12000,10,0,1,0,2,0
0.107725735,45,0,0.650451836,5200,5,0,2,0,1,0
0.157071828,74,1,0.591646301,4500,16,0,3,0,0,0
0.013073873,46,0,0.621037896,10000,13,0,4,0,0,0
1.0,33,2,0.205267938,1300,6,0,0,0,1,0
0.074143223,46,0,0.27588404,9416,21,0,1,0,2,0
0.030166755,61,0,0.012152096999999999,2550,5,0,0,0,0,0
0.06972106,34,0,0.213249835,3033,3,0,0,0,0,0
0.04617762,61,0,0.491776846,3100,11,0,1,0,1,0
0.09696549900000001,33,0,0.305757471,8666,7,0,1,0,2,0
0.051585748,49,0,0.315668433,10000,12,0,2,0,2,0
0.49261278,59,0,0.273714791,15833,13,0,1,0,2,0
0.733579506,29,0,7760.5,1300,9,0,1,0,0,0
0.459319646,46,1,1656.0,1300,17,0,2,0,0,0
0.047653768,58,0,3153.0, ,9,0,3,0,0,0
0.006856335999999999,85,0,0.004329004,3000,8,0,0,0,1,0
0.5001594979999999,61,0,0.5159765470000001,22000,24,0,4,2,1,0
0.576745748,75,0,1594.0, ,13,0,0,0,0,0
0.068165755,80,0,0.36355273899999996,9783,15,0,3,0,0,0
0.012477239,66,0,0.08579313699999999,8333,5,0,0,0,2,0
0.44655327100000003,48,0,0.345437616,7517,17,0,2,0,0,0
0.436807151,60,0,0.285761902,18000,11,0,1,0,0,0
0.017799555,56,0,753.0, ,5,0,1,0,0,0
0.087260849,55,0,0.203863691,8333,2,0,1,0,1,0
0.027231665,63,0,31.0,1300,3,0,0,0,0,0
0.018410238,60,0,4503.0, ,8,0,2,0, ,0
0.025265824,61,0,0.11509832199999999,9000,16,0,2,0,0,0
0.075651123,38,0,3675.0, ,4,0,2,0,0,0
0.9999998999999999,56,0,0.004329004,1744,2,0,0,0,0,0
0.0027953979999999997,55,0,0.21734141899999998,6100,4,0,2,0,3,0
0.107881535,52,0,0.301507538,5571,7,0,1,0,0,0
0.821913753,35,0,0.332134139,7782,10,0,1,0,0,0
0.810566397,29,0,0.242653741,3300,4,0,1,0,1,0
0.072892711,51,1,4629.0, ,14,0,4,0,0,0
0.9999998999999999,41,0,0.267985221,4600,5,0,1,0,1,0
0.0,29,0,39.0, ,3,0,0,0,0,0
0.251499824,29,0,0.112816851,2800,6,0,0,0,0,0
0.9999998999999999,42,0,10.197086547,2333,2,0,1,0,1,0
0.860605576,57,1,60.14071607,1300,15,0,4,0,0,0
0.006034275,52,0,0.004329004,15000,3,0,0,0,1,0
0.629945694,49,0,0.428707224,3155,9,1,2,2,0,1
0.0063561469999999995,60,0,0.004329004,4653,4,0,0,0,0,0
0.5823291110000001,48,0,0.187384976,5976,4,0,0,0,4,0
0.0,47,0,0.27837773,12500,6,0,2,0,2,0
0.147389065,65,0,2178.0, ,12,0,2,0, ,0
0.5012135289999999,58,0,0.460634444,11316,14,0,2,0,1,0
0.39956945899999996,54,0,0.31525015100000003,9953,5,0,3,0,2,0
0.0,86,0,7.0, ,4,0,0,0,0,0
0.24604872100000003,55,0,2825.0, ,9,0,1,0,1,0
0.088589586,48,1,0.195096505,7667,10,0,1,0,0,0
0.121128899,50,0,0.36990752299999996,4000,11,0,1,0,0,0
0.03039962,64,0,0.213324913,15834,9,0,1,0,1,0
0.261487775,29,0,0.956463794,2250,11,0,2,0,0,0
0.9416246070000001,52,0,0.32970451,4500,5,0,0,0,0,0
0.451177441,38,0,0.39617674,8735,9,1,1,0,2,0
0.7246550690000001,36,0,0.069660711,6100,3,0,0,0,1,0
0.0,62,0,0.560577992,2698,5,0,1,0,0,0
0.939347577,40,1,0.515228426,3545,9,0,0,0,4,0
0.17882502399999997,64,1,1503.0, ,10,0,1,0,0,0
0.453703895,46,0,0.433410412,16000,24,0,2,0,0,0
0.147041981,74,0,100.0, ,2,0,0,0,0,0
0.042534707000000005,42,0,0.011141266,7000,5,0,0,0,1,0
0.5279050710000001,52,0,0.50499918,6100,12,0,1,0,0,0
0.505856313,50,0,0.36624775600000004,7240,8,0,1,0,2,0
0.054143486,80,0,0.015949555,2695,3,0,0,0,0,0
0.105495,46,0,0.5326571,8083,11,0,1,0,0,0
0.49902144299999995,51,0,0.6385852089999999,6219,10,0,1,0,0,0
0.00908896,54,0,0.378749605,6333,7,0,1,1,2,0
0.0,73,0,0.330266973,10000,6,0,2,0,1,0
0.370587415,46,0,0.230682312,11504,6,0,2,0,1,0
0.464009571,76,0,20.019302152999998,1346,9,0,2,0,0,0
0.036018771,61,0,254.0, ,6,0,0,0, ,0
0.110254213,30,0,11.0, ,2,0,0,0,0,0
0.15628658199999998,61,0,1090.0, ,4,0,2,0, ,0
0.9999998999999999,29,0,0.10099889,1300,2,1,0,0,0,0
0.448900116,52,4,0.41343820600000003,11950,14,3,3,1,2,1
0.028498127,64,0,0.187293285,13000,12,0,1,0,1,0
0.397825272,64,0,0.56027687,5200,6,0,3,0,0,0
0.12259080900000001,62,0,0.374147805,11000,13,0,1,0,0,0
0.001569423,58,0,343.0, ,9,0,0,0,0,0
0.017074682,53,0,0.00779844,5000,9,0,0,0,0,0
0.9999998999999999,58,1,0.145141943,2500,2,1,0,0,0,1
0.004552019,63,0,0.282588191,5300,9,0,1,0,1,0
0.641522159,62,0,3754.0, ,23,0,2,0,0,0
0.732601451,31,0,0.343062775,2500,8,0,0,1,0,0
0.8769366890000001,62,1,0.36947352,6400,13,0,1,0,1,0
0.8716205159999999,42,0,0.8084674270000001,6400,7,0,2,0,2,0
0.007283321,87,0,0.004329004,6017,3,0,0,0,0,0
0.024614111,63,0,0.42414440700000006,9583,14,0,2,0,2,0
0.14229577300000001,63,0,3470.0, ,7,0,2,0,0,0
0.990722606,48,0,0.859082094,1546,4,0,0,0,2,0
0.039372949,78,0,22.0, ,4,0,0,0,0,0
0.160094344,53,0,4981.0, ,6,0,1,0,0,0
0.23473311800000002,39,0,0.086259284,5923,4,0,0,0,2,0
0.069216588,67,0,0.024338172999999998,4683,6,0,0,0,0,0
0.0,48,0,3078.0, ,7,0,1,0,3,0
0.043173460999999996,56,1,0.155514536,4333,9,0,1,0,1,1
0.427878606,60,1,0.254636123,6416,8,0,1,0,1,0
0.0,82,0,0.004329004,3215,10,0,0,0,0,0
0.08521663199999999,72,0,0.235944022,4072,4,0,1,0,0,0
0.015405594,72,1,0.005266128,5316,5,0,0,0,0,0
0.0,48,0,1328.0, ,3,0,2,0,0,0
0.9999998999999999,32,0,439.0, ,2,0,0,0,3,1
0.15812764,61,0,0.01688325,9772,3,0,0,0,0,0
0.168823954,48,0,0.17965625300000002,9250,3,0,1,0,0,0
0.073446574,58,0,856.0, ,5,0,1,0, ,0
0.066798785,47,0,0.009102945999999999,12083,10,0,0,0,0,0
0.046534848,36,1,0.3499233,5866,15,0,1,0,0,0
0.261642129,43,0,0.359438229,4200,8,0,0,0,3,0
0.9999998999999999,29,0,0.21446384,1300,2,1,0,0,0,1
0.0034886509999999997,67,0,0.434782609,2874,12,0,1,0,1,0
0.0,53,0,0.25754849,5000,9,0,1,0,0,0
0.523288248,36,0,553.0, ,8,0,0,0,0,0
0.05106503,50,0,0.353954651,11201,22,0,2,0,1,0
0.023332752999999998,80,0,0.007590596999999999,4083,6,0,0,0,0,0
0.8223013509999999,44,0,0.8529779259999999,2400,5,0,1,0,0,0
0.561314859,40,0,0.877024595,5000,14,0,2,0,1,0
0.0,33,0,0.17338848699999998,2900,2,0,0,0,0,0
0.7277085329999999,40,0,0.17519638199999998,4200,3,0,0,0,3,0
0.030797542999999997,49,0,1240.0, ,5,0,1,0,0,0
0.042889094,43,0,2804.0, ,3,0,1,0,0,0
0.0,50,0,0.232403165,2400,6,0,0,0,0,0
0.0026657779999999997,38,0,0.316676885,3261,3,0,1,0,0,0
0.0,76,0,34.0, ,4,0,0,0,0,0
0.917460053,62,0,0.7715767,3278,6,0,1,0,0,0
0.013473296000000001,64,0,0.24107362699999998,4060,12,0,1,0,0,0
0.045406809000000006,53,0,10.522938624,3225,13,0,3,0,2,0
0.005020671,61,0,0.004343383,3913,13,0,0,0,1,0
0.24539018399999998,45,0,184.0,1300,2,0,0,0,0,0
0.038202678999999996,57,0,0.45918367299999996,10583,16,0,4,0,2,0
0.0,65,0,0.004329004,1300,10,0,0,0,0,0
0.969645043,46,0,0.08707607699999999,12000,7,0,0,0,3,0
0.029595585,71,0,46.0, ,4,0,0,0,0,0
0.23254142,56,1,0.18364561399999998,8058,8,0,2,1,0,0
0.08062915400000001,50,1,0.036101083,2215,8,0,0,0,0,0
0.085941332,50,0,3740.0,1300,11,0,2,0,1,1
0.098156039,70,0,0.21375862899999998,4200,13,0,0,0,0,0
0.066300832,63,0,1410.0, ,9,0,1,0,0,0
0.000288798,46,0,0.51106376,6100,11,0,2,0,3,0
0.050697547,30,0,0.102316281,6000,11,0,0,0,0,0
0.7171314740000001,33,0,0.134042553,1300,2,0,0,0,2,0
0.106980731,64,0,0.0794329,5148,3,0,0,0,0,0
0.45399640700000005,37,1,0.972358361,5100,16,0,2,0,1,0
0.029399744,77,0,32.0, ,3,0,0,0,0,0
0.008166213,48,0,0.33626637299999995,10000,6,0,1,0,0,0
0.0,46,0,0.53709856,5417,4,0,1,0,0,0
0.174041298,58,0,0.768764963,7100,6,0,2,0,1,0
0.148400154,46,0,1887.0,1300,16,0,2,0,1,0
0.0,40,0,10.074937552,1300,3,0,1,0,3,0
0.884872318,87,0,0.7413948459999999,5548,12,0,3,0,0,0
0.12179391,54,0,0.27811673800000003,9833,6,0,2,0,3,0
0.256891851,31,1,75.0, ,4,0,0,0,0,0
0.9999998999999999,47,0,12000.5,1300,2,0,1,0,1,0
0.079440102,29,0,168.0, ,4,0,0,0,0,0
0.720249045,37,0,0.608956854,1830,18,0,0,0,3,0
0.046100079,78,0,0.015062762,4779,8,0,0,0,1,0
0.9999998999999999,30,1,0.004329004,2200,2,0,0,0,2,0
0.0,41,0,0.253915362,3000,10,0,0,0,1,0
0.039991506,51,0,0.6874796040000001,9192,24,0,1,0,0,0
0.14119647,64,0,0.39348312,8500,15,0,1,0,4,0
0.061065037999999995,45,0,0.185057262,5500,7,0,1,0,4,0
0.08468561,46,0,2441.0,1300,11,0,1,0,2,0
0.251304387,34,0,0.085142946,6400,8,0,0,0,0,0
0.00088368,63,0,0.004329004, ,4,0,0,0,0,0
0.9999998999999999,29,0,0.004329004,1300,2,1,0,0,0,0
0.735489895,58,0,0.244532389,4800,6,0,0,0,0,0
0.0017420139999999998,50,0,0.004329004,11000,15,0,0,0,2,0
0.32911139300000003,37,1,0.6431784110000001,2000,6,0,1,1,1,1
0.0,67,0,0.004329004, ,6,0,0,0,0,0
0.041079231,65,0,0.008997001,3000,3,0,0,0,1,0
0.059145958,62,0,0.315203341,10056,11,0,4,0,0,0
0.065868263,29,0,0.004329004,5082,2,0,0,0,0,0
0.237083698,32,0,0.13118032699999999,25000,9,0,4,0,0,1
0.7487567140000001,52,0,0.952793076,5083,7,0,2,0,0,0
0.716309671,53,0,2492.0, ,6,0,1,0,0,0
0.131676489,52,0,0.305205121,10700,14,0,2,0,1,0
0.018693671999999998,73,0,3402.0, ,4,0,2,0,0,0
0.024650232999999997,29,0,0.004329004,2745,2,0,0,0,0,0
0.295794585,49,1,3246.0, ,16,0,2,0,1,0
0.470025123,77,1,0.48729108600000004,5743,16,0,2,0,0,0
0.547959023,42,0,0.616702355,1400,4,0,0,0,0,0
0.0,64,0,0.727462437,9583,12,0,3,0,0,0
0.00091048,47,0,0.056172785,11250,13,0,0,0,0,0
0.08534188300000001,52,0,0.504663289,13616,7,0,2,0,1,0
0.0,80,0,67.0, ,3,0,0,0,0,0
0.47052443899999996,58,0,964.0,1300,9,0,0,0,0,0
0.097084415,29,0,0.03898051,2000,5,0,0,0,0,0
0.01579921,42,0,2059.0, ,4,0,1,0,0,0
0.034658787999999996,49,0,0.277264522,9416,13,0,1,0,0,0
0.9999998999999999,49,0,200.0, ,2,0,0,0,0,1
0.499291692,50,0,0.166526493,10700,15,0,0,0,2,0
0.003818665,87,0,0.004329004,5532,4,0,0,0,0,0
0.22903612899999998,53,0,1192.0, ,2,0,1,0,0,0
0.8964858109999999,42,0,0.229007634,2750,3,0,0,0,3,1
0.0,56,0,0.298438935,3266,8,0,1,0,0,0
0.0,34,0,0.647696105,7291,9,0,2,0,1,0
0.0027491890000000004,87,0,0.004329004,9500,14,0,0,0,1,0
0.9397165670000001,54,2,0.058736394000000004,25000,9,0,2,0,1,0
0.314819155,49,4,0.438703141,5921,12,0,1,0,2,0
0.346482676,44,0,0.286684218,7216,4,0,1,0,0,0
0.460536955,29,1,0.663799283,2789,10,0,2,0,0,0
0.32196387,60,0,0.385407559,10292,9,0,2,0,1,0
0.002838505,57,1,0.307639367,4358,17,0,2,0,0,0
0.004075459,29,0,0.526841448,1300,11,0,0,0,0,0
0.107930493,71,0,0.49377593399999997,3614,7,0,2,0,0,0
0.163937424,46,0,0.48808697700000003,4322,11,0,1,0,2,0
0.157070244,33,0,769.0, ,4,0,0,0,0,0
0.656725502,68,0,0.860116167,2065,11,0,1,0,1,0
0.0,63,0,0.120325805,2700,10,0,0,0,1,0
0.006795934,65,0,0.30757321600000004,7750,14,0,2,0,3,0
0.025535947000000003,65,0,0.029492627,4000,18,0,0,0,0,0
0.13702934,71,0,0.958534771,5377,11,0,2,0,1,0
0.251199653,54,0,0.7713801859999999,1300,9,0,0,0,0,0
0.31067138699999997,78,1,0.236431554,4550,15,0,1,1,1,0
0.0013808870000000001,87,0,0.004329004,2706,4,0,0,0,0,0
0.0,29,0,0.004329004,1300,2,0,0,0,0,0
1.0,53,0,0.503208476,6700,9,0,1,0,2,0
1.0,29,0,0.152564957,1500,4,0,0,0,0,0
0.043174149,54,0,0.10206987199999999,9130,12,0,1,0,0,0
0.079674408,71,0,0.264122646,6000,9,0,1,0,0,0
0.031517895,41,0,0.327401753,18600,15,0,4,0,0,0
0.079818675,75,0,70.0, ,7,0,0,0,0,0
0.058220355,41,0,0.28936275699999997,8065,9,0,1,0,2,0
0.685768177,42,0,4981.0,1300,11,0,2,0,0,0
0.0,42,0,0.164951485,3400,4,0,0,0,1,0
0.8519055209999999,35,0,0.043021265999999996,4090,2,0,0,0,3,1
0.136033229,46,2,2503.0, ,10,1,1,0, ,0
0.10483477599999999,40,0,0.135372925,5000,11,1,0,0,3,0
0.20637852899999998,44,0,0.6854032440000001,4500,9,0,1,0,2,0
0.038886488,76,0,18.0, ,3,0,0,0,0,0
0.00739926,58,0,4496.0, ,4,0,1,0,0,0
0.029622832,76,0,79.0, ,6,0,0,0,0,0
0.134123697,29,0,1821.0, ,5,0,1,0, ,0
0.073014,80,0,0.007046948000000001,10500,10,0,0,0,0,0
0.0,69,0,0.004329004,5000,2,0,0,0,1,0
0.9958337190000001,54,0,0.418159733,3292,6,0,1,0,1,0
0.052358079,64,0,10.156562292,1500,9,0,1,0,1,0
0.004407374,46,0,0.289156627,3236,5,0,1,0,2,0
0.49636880299999997,52,2,0.234035513,9066,9,0,1,0,3,0
0.845668697,31,1,0.26419136,2800,7,0,0,2,3,0
0.002960922,67,1,469.0, ,5,0,2,0, ,0
0.118263561,47,0,0.318451343,8600,18,0,1,0,0,0
0.9999998999999999,29,0,0.18166238199999998,2333,3,3,0,0,0,1
0.015026486,61,0,0.10536183,5333,11,0,1,0,2,0
0.67980577,57,0,0.176470588,1300,4,0,0,0,0,0
0.169833037,53,1,0.713580247,4859,15,0,2,0,1,0
0.400630101,69,0,0.35096362799999997,6900,12,0,1,0,0,0
0.9999998999999999,39,0,0.390900033,9032,6,0,1,1,1,0
0.049387974,70,0,0.23413729100000003,5389,5,0,1,0,1,0
0.916853218,45,0,10.013058559,4900,6,0,2,0,3,1
0.295415374,34,0,0.254686328,4000,7,0,1,0,0,0
0.9660030909999999,39,0,0.317682318,1300,2,0,0,0,0,0
0.40103238399999996,46,0,587.0, ,6,0,0,0,0,0
0.050846545,31,0,0.427451608,6250,10,0,2,0,1,0
0.429076645,47,0,0.455773561,3108,4,0,0,0,0,0
0.329711221,62,1,0.881365417,3573,7,0,3,0,0,0
0.26658222800000003,29,0,327.0,1300,2,0,0,1,0,0
0.145933474,31,0,0.06346682099999999,6916,4,0,0,0,0,0
0.990016639,51,2,0.08563968699999999,3829,2,1,1,1,1,1
0.2125092,58,0,0.41570651,14146,24,0,2,0,2,0
0.19476001199999998,52,0,0.424556796,7614,13,0,2,0,0,0
0.76280173,32,0,0.291381669,5116,6,0,0,0,2,0
0.809930528,50,0,0.46581677299999996,8000,11,0,1,0,2,0
0.9999998999999999,29,0,135.0, ,2,0,0,0, ,0
0.04864909,42,0,0.253099174,4839,4,0,1,0,3,0
0.012022563,43,0,0.707376385,3700,11,0,1,0,2,0
0.01279921,42,0,0.13919721599999998,25000,12,0,3,0,4,0
0.692139197,45,0,0.417752196,13203,9,0,2,0,3,0
1.0,56,0,0.53516596,6838,5,3,2,0,2,0
0.13667453300000001,61,0,102.0, ,4,0,0,0,0,0
0.0,53,0,0.004329004,2600,4,0,0,0,0,0
0.854004867,38,0,0.189668232,6600,4,0,0,0,0,0
0.9999998999999999,85,1,784.0, ,6,0,1,0,0,1
0.176504695,53,0,0.500328443,9133,24,0,2,0,2,0
0.947026487,35,3,0.110773439,6580,9,0,0,0,2,1
0.034609736,65,0,2126.0, ,17,0,1,0,0,0
0.080992446,46,0,0.117757971,5833,10,0,0,0,2,0
0.01559844,29,0,0.004329004,3336,2,0,0,0,0,0
0.9999998999999999,58,0,1276.0, ,3,0,1,0,0,0
0.11928146199999999,71,0,0.329426591,7934,6,0,2,0,0,0
0.9999998999999999,29,4,0.004329004,2000,2,3,0,2,0,0
0.033372914,61,0,0.009626955,1661,5,0,0,0,0,0
0.851920145,46,0,0.472642189,8333,6,0,2,0,2,0
0.037902571,67,0,0.061375173,6500,10,0,0,0,0,0
0.828421293,42,2,0.428946382,5333,6,0,2,0,0,1
0.013996001000000001,78,0,0.004329004,3309,3,0,0,0,0,0
0.0151005,56,1,0.238410596,3925,9,0,1,0,0,0
0.20480256600000002,47,1,0.412541961,14000,14,0,3,0,2,0
0.836131095,44,1,0.153296834,4200,4,0,0,0,4,0
0.799390505,64,2,0.454545455,7160,13,0,1,0,2,0
0.532470524,44,2,0.22286412600000002,9000,18,0,0,0,3,0
0.11716868400000001,65,0,0.06394272299999999,8100,11,0,0,0,3,1
